GERAÇÃO 1:  (a = -0.000000, b = 8.567900)   | ERRO: 8.000000   | MELHOR FITNESS: 0.111111
GERAÇÃO 2:  (a = 0.258474, b = 10.371219)   | ERRO: 7.626534   | MELHOR FITNESS: 0.115921
GERAÇÃO 3:  (a = 0.361428, b = 5.618576)   | ERRO: 7.103574   | MELHOR FITNESS: 0.123402
GERAÇÃO 4:  (a = 1.158380, b = 5.618576)   | ERRO: 5.326146   | MELHOR FITNESS: 0.158074
GERAÇÃO 5:  (a = 1.158380, b = 5.618576)   | ERRO: 5.326146   | MELHOR FITNESS: 0.158074
GERAÇÃO 6:  (a = 1.158380, b = 5.618576)   | ERRO: 5.326146   | MELHOR FITNESS: 0.158074
GERAÇÃO 7:  (a = 1.158380, b = 5.618576)   | ERRO: 5.326146   | MELHOR FITNESS: 0.158074
GERAÇÃO 8:  (a = 1.158380, b = 5.618576)   | ERRO: 5.326146   | MELHOR FITNESS: 0.158074
GERAÇÃO 9:  (a = 1.158380, b = 5.618576)   | ERRO: 5.326146   | MELHOR FITNESS: 0.158074
GERAÇÃO 10:  (a = 1.158380, b = 3.210145)   | ERRO: 5.104051   | MELHOR FITNESS: 0.163826
GERAÇÃO 11:  (a = 1.158380, b = 3.210145)   | ERRO: 5.104051   | MELHOR FITNESS: 0.163826
GERAÇÃO 12:  (a = 1.158380, b = 3.210145)   | ERRO: 5.104051   | MELHOR FITNESS: 0.163826
GERAÇÃO 13:  (a = 1.823604, b = 4.772986)   | ERRO: 4.769755   | MELHOR FITNESS: 0.173318
GERAÇÃO 14:  (a = 1.823604, b = 4.653163)   | ERRO: 4.697862   | MELHOR FITNESS: 0.175504
GERAÇÃO 15:  (a = 1.823604, b = 2.178797)   | ERRO: 3.640354   | MELHOR FITNESS: 0.215501
GERAÇÃO 16:  (a = 2.211760, b = 2.178797)   | ERRO: 3.640214   | MELHOR FITNESS: 0.215507
GERAÇÃO 17:  (a = 2.211760, b = -2.111104)   | ERRO: 2.543415   | MELHOR FITNESS: 0.282214
GERAÇÃO 18:  (a = 2.211760, b = -2.111104)   | ERRO: 2.543415   | MELHOR FITNESS: 0.282214
GERAÇÃO 19:  (a = 2.211760, b = -2.111104)   | ERRO: 2.543415   | MELHOR FITNESS: 0.282214
GERAÇÃO 20:  (a = 2.211760, b = -2.111104)   | ERRO: 2.543415   | MELHOR FITNESS: 0.282214
GERAÇÃO 21:  (a = 2.211760, b = -1.820065)   | ERRO: 2.485206   | MELHOR FITNESS: 0.286927
GERAÇÃO 22:  (a = 2.211760, b = -1.820065)   | ERRO: 2.485206   | MELHOR FITNESS: 0.286927
GERAÇÃO 23:  (a = 2.211760, b = -1.820065)   | ERRO: 2.485206   | MELHOR FITNESS: 0.286927
GERAÇÃO 24:  (a = 2.692494, b = -2.470446)   | ERRO: 1.444073   | MELHOR FITNESS: 0.409153
GERAÇÃO 25:  (a = 2.692494, b = -2.470446)   | ERRO: 1.444073   | MELHOR FITNESS: 0.409153
GERAÇÃO 26:  (a = 2.692494, b = -2.470446)   | ERRO: 1.444073   | MELHOR FITNESS: 0.409153
GERAÇÃO 27:  (a = 2.692494, b = -2.470446)   | ERRO: 1.444073   | MELHOR FITNESS: 0.409153
GERAÇÃO 28:  (a = 2.759941, b = -3.122831)   | ERRO: 1.175523   | MELHOR FITNESS: 0.459660
GERAÇÃO 29:  (a = 2.759941, b = -3.354419)   | ERRO: 1.129205   | MELHOR FITNESS: 0.469659
GERAÇÃO 30:  (a = 2.759941, b = -3.354419)   | ERRO: 1.129205   | MELHOR FITNESS: 0.469659
GERAÇÃO 31:  (a = 2.759941, b = -3.354419)   | ERRO: 1.129205   | MELHOR FITNESS: 0.469659
GERAÇÃO 32:  (a = 2.759941, b = -3.354419)   | ERRO: 1.129205   | MELHOR FITNESS: 0.469659
GERAÇÃO 33:  (a = 2.759941, b = -3.354419)   | ERRO: 1.129205   | MELHOR FITNESS: 0.469659
GERAÇÃO 34:  (a = 2.759941, b = -3.354419)   | ERRO: 1.129205   | MELHOR FITNESS: 0.469659
